127.0.0.1 - - [07/Jan/2022:12:36:03 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:36:03 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:36:03 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:42:47 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3781
127.0.0.1 - - [07/Jan/2022:12:42:47 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:42:47 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:42:47 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:42:47 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:42:47 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:46:48 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3851
127.0.0.1 - - [07/Jan/2022:12:46:48 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:46:48 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:46:48 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:46:48 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:46:48 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:00 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:00 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:00 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:01 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:01 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:01 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:06 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3857
127.0.0.1 - - [07/Jan/2022:12:47:06 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:06 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:06 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:06 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:47:06 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:11 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3957
127.0.0.1 - - [07/Jan/2022:12:51:11 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:11 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:11 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:11 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:11 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:47 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3951
127.0.0.1 - - [07/Jan/2022:12:51:47 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:47 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:47 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:47 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:51:47 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
